Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner abbreviation,Date entity introduced on RGC,Entity start date,,
E00,Output Areas,OA,Statistical Building Block,England,"W00, S00, N00",Current,"178,605","18,616",0,21/03/2021,E00000001,E00190594,E00999999,ONS,01/01/2009,01/01/2009,,
E01,Lower layer Super Output Areas,LSOA,Statistical Building Block,England,"W01, S01",Current,"33,755","2,928",0,21/03/2021,E01000001,E01035762,E01999999,ONS,01/01/2009,01/01/2003,,
E02,Middle layer Super Output Areas,MSOA,Statistical Building Block,England,"W02, S02",Current,"6,856",255,0,21/03/2021,E02000001,E02007116,E02999999,ONS,01/01/2009,01/01/2003,,
E04,Civil Parishes,PAR,Administrative,England,n/a,Current,"10,464","3,864",0,01/04/2026,E04000001,E04013551,E04999999,DLUHC,01/01/2009,01/01/2009,,
E05,Electoral Wards/Divisions,WD,Administrative/Electoral,England,"W05, S13, N08",Current,"6,834","10,411",0,07/05/2026,E05000954,E05016632,E05999999,DLUHC,01/01/2009,01/01/2009,,
E06,Unitary Authorities,UA,Administrative,England,n/a,Current,63,3,0,01/04/2023,E06000001,E06000066,E06999999,DLUHC,01/01/2009,01/01/2009,,
E07,Non-metropolitan Districts,NMD,Administrative,England,n/a,Current,164,85,0,01/01/2025,E07000008,E07000245,E07999999,DLUHC,01/01/2009,01/01/2009,,
E08,Metropolitan Districts,MD,Administrative,England,n/a,Current,36,3,0,01/04/2025,E08000001,E08000039,E08999999,DLUHC,01/01/2009,01/01/2009,,
E09,London Boroughs,LONB,Administrative,England,n/a,Current,33,0,0,n/a,E09000001,E09000033,E09999999,DLUHC,01/01/2009,01/01/2009,,
E10,Counties,CTY,Administrative,England,n/a,Current,21,13,0,01/04/2023,E10000003,E10000034,E10999999,DLUHC,01/01/2009,01/01/2009,,
E11,Metropolitan Counties,MCTY,Administrative,England,n/a,Current,6,1,0,01/04/2013,E11000001,E11000007,E11999999,DLUHC,01/01/2009,01/01/2009,,
E12,Regions,RGN,Administrative,England,n/a,Current,9,0,0,n/a,E12000001,E12000009,E12999999,ONS,01/01/2009,01/01/2009,,
E13,Inner and Outer London,IOL,Statistical Building Block,England,n/a,Current,2,0,0,n/a,E13000001,E13000002,E13999999,DLUHC,01/01/2009,01/01/2009,,
E14,Westminster Parliamentary Constituencies,PCON,Electoral,England,"W07, S14, N05",Current,543,"1,062",0,04/07/2024,E14001063,E14001605,E14999999,LGBC,01/01/2009,01/01/2009,,
E15,European Electoral Regions,EER,Electoral,England,"W08, S15, N07",Archived,0,9,0,31/12/2020,E15000001,E15000009,E15999999,ONS,01/01/2009,01/01/2009,,
E16,Primary Care Trusts,PCT,Health,England,n/a,Archived,0,151,0,31/03/2013,E16000001,E16000151,E16999999,ODS,01/01/2009,01/01/2009,,
E17,Care Trusts,CT,Health,England,n/a,Archived,0,6,0,31/03/2013,E17000001,E17000006,E17999999,ODS,01/01/2009,01/01/2009,,
E18,Strategic Health Authorities,SHA,Health,England,"L00, M00",Archived,0,10,0,31/03/2013,E18000001,E18000010,E18999999,ODS,01/01/2009,01/01/2009,,
E19,Pan Strategic Health Authorities,PSHA,Health,England,n/a,Archived,0,3,0,31/03/2013,E19000001,E19000003,E19999999,ODS,01/01/2009,01/01/2009,,
E20,Cancer Registries,CANREG,Health,England,W12,Current,8,0,0,n/a,E20000001,E20000008,E20999999,NHS Digital,01/01/2009,01/01/2009,,
E21,Cancer Networks,CANNET,Health,England,W13,Archived,0,30,0,31/03/2013,E21000001,E21000030,E21999999,ODS,01/01/2009,01/01/2009,,
